nb_www,phish_hints,nb_hyperlinks,length_words_raw,domain_in_title,ratio_intHyperlinks,ratio_extHyperlinks,domain_age,web_traffic,page_rank,url_len,hostname_len,space_count,digit_ratio_url,status
0,0,112,8,1,0.866071429,0.133928571,7417,2697,6,69,27,0,0.11290322580645161,0
0,0,277,9,1,0.227436823,0.772563177,5444,0,2,74,19,0,0.08823529411764706,0
0,0,23,2,1,1.0,0.0,-1,0,0,29,15,0,0.07407407407407407,1
0,0,0,1,1,0.0,0.0,396,0,0,25,17,0,0.0,1
0,1,8,5,1,1.0,0.0,4966,0,1,56,19,0,0.0,1
0,0,0,5,1,0.0,0.0,6555,0,2,80,34,0,0.08108108108108109,1
0,0,0,18,1,0.0,0.0,7905,155,7,206,21,0,0.48201438848920863,1
1,0,78,10,1,0.512820513,0.487179487,7292,1008,6,80,17,0,0.06666666666666667,0
1,0,152,2,1,0.960526316,0.039473684,8018,5075341,3,26,17,0,0.0,0
1,0,7,6,1,1.0,0.0,3779,0,1,75,22,0,0.0,1
0,1,1,53,0,1.0,0.0,6114,6765657,2,360,22,4,0.14285714285714285,1
1,0,126,5,1,0.658730159,0.341269841,-1,150879,5,40,13,0,0.0,0
1,0,84,12,1,0.714285714,0.285714286,4847,6060,5,78,24,0,0.0,0
0,0,39,10,1,0.179487179,0.820512821,7298,0,5,95,43,0,0.14457831325301204,1
1,0,45,2,0,0.555555556,0.444444444,7090,354959,3,25,16,0,0.0,0
0,0,1,7,1,1.0,0.0,1877,0,0,47,11,0,0.0,1
1,3,4,6,1,1.0,0.0,11,8773367,0,51,19,0,0.0,1
0,0,24,2,1,0.0,1.0,6381,0,3,35,27,0,0.12903225806451613,1
1,0,177,5,0,0.943502825,0.056497175,8627,5781,6,39,11,0,0.0,0
1,0,0,6,1,0.0,0.0,7330,154708,4,50,15,0,0.0,1
0,4,6,14,1,0.333333333,0.666666667,4609,0,3,107,17,0,0.0,1
0,0,1,5,1,1.0,0.0,3489,0,0,66,12,0,0.4666666666666667,1
1,3,4,12,1,1.0,0.0,2618,0,0,79,13,0,0.14492753623188406,1
0,0,36,2,1,0.75,0.25,7621,56198,6,38,30,0,0.0,1
0,0,6,2,0,0.0,1.0,7412,1561104,2,32,25,0,0.0,1
1,0,116,2,1,0.948275862,0.051724138,-1,219997,5,17,10,0,0.0,0
0,0,0,4,1,0.0,0.0,784,2745991,0,36,28,0,0.0,1
0,3,0,4,0,0.0,0.0,4216,0,0,34,15,0,0.0,1
1,0,41,9,0,0.707317073,0.292682927,11564,375,6,58,12,0,0.13725490196078433,0
0,0,18,10,1,0.555555556,0.444444444,5627,0,5,81,49,0,0.265625,1
0,0,4,2,1,1.0,0.0,466,0,0,44,36,0,0.0,1
0,0,1,4,1,1.0,0.0,5941,0,0,42,15,0,0.0,1
1,0,236,2,1,0.966101695,0.033898305,-1,1093774,4,39,30,0,0.0,0
1,0,137,2,1,0.795620438,0.204379562,-1,0,2,31,23,0,0.0,0
0,2,21,6,1,0.19047619,0.80952381,5615,0,5,43,24,0,0.04878048780487805,1
1,0,130,3,0,0.723076923,0.276923077,8813,97606,5,31,19,0,0.0,0
0,0,21,4,1,0.523809524,0.476190476,-1,0,0,38,16,0,0.0,1
1,0,304,8,1,0.914473684,0.085526316,5115,0,4,78,21,0,0.0,0
1,0,210,5,1,0.69047619,0.30952381,5226,137,8,52,18,0,0.0,0
0,0,51,13,1,1.0,0.0,3993,5707171,0,127,50,0,0.25742574257425743,1
0,0,14,2,1,0.071428571,0.928571429,7295,0,5,36,27,0,0.0,1
0,0,38,13,0,0.842105263,0.157894737,7590,635,5,77,24,0,0.0547945205479452,0
1,0,173,10,0,0.300578035,0.699421965,5857,199672,5,88,20,0,0.0,0
1,0,547,10,0,0.983546618,0.016453382,7985,13560,6,62,13,0,0.14814814814814814,0
1,0,181,5,1,0.961325967,0.038674033,8095,2583581,4,43,15,0,0.0,0
0,0,1,6,1,0.0,1.0,7087,18105,3,143,30,0,0.05925925925925926,1
1,0,264,2,0,0.96969697,0.03030303,-1,405272,3,21,12,0,0.0,0
0,0,405,3,1,0.701234568,0.298765432,8647,107,5,40,27,0,0.0,0
2,0,50,12,1,1.0,0.0,-1,0,0,177,19,0,0.029069767441860465,1
0,0,0,3,1,0.0,0.0,2644,0,1,26,16,0,0.04,1
1,0,68,11,1,0.647058824,0.352941176,4845,5964,5,72,24,0,0.0,0
0,0,113,2,1,0.008849558,0.991150442,-1,3523,9,21,6,0,0.10526315789473684,1
1,0,51,7,1,0.862745098,0.137254902,4502,896069,5,76,20,0,0.0,0
0,0,20,5,1,1.0,0.0,168,0,0,105,21,0,0.1797752808988764,1
1,0,139,7,1,0.798561151,0.201438849,-1,53113,5,70,17,0,0.0,0
1,0,244,2,1,0.774590164,0.225409836,-1,0,2,35,27,0,0.0,0
1,0,42,6,1,0.928571429,0.071428571,6773,182609,4,42,17,0,0.10526315789473684,0
0,0,25,8,1,0.64,0.36,5659,889,6,83,22,0,0.296875,1
1,0,18,4,1,0.888888889,0.111111111,5309,37739,5,39,19,0,0.0,0
0,0,74,7,1,0.135135135,0.864864865,7298,0,5,61,30,0,0.1509433962264151,1
1,0,73,5,1,0.97260274,0.02739726,5350,26325,5,48,23,0,0.0,0
1,0,145,4,0,0.813793103,0.186206897,9202,687,6,40,18,0,0.0,0
0,0,28,3,1,0.25,0.75,7142,8441470,1,35,27,0,0.09375,1
1,0,144,3,1,0.819444444,0.180555556,591,0,2,44,20,0,0.0,1
1,0,198,4,1,0.98989899,0.01010101,6895,21804,4,40,14,0,0.0,0
0,0,15,2,1,0.666666667,0.333333333,670,0,0,29,16,0,0.0,1
1,1,0,8,1,0.0,0.0,7748,40610,5,77,18,0,0.0547945205479452,0
0,0,9,8,1,1.0,0.0,3325,0,0,63,18,1,0.03278688524590164,1
0,2,10,16,1,0.9,0.1,-1,0,0,172,20,0,0.3333333333333333,1
1,0,244,2,1,0.418032787,0.581967213,6220,0,4,23,14,0,0.0,0
0,0,185,5,1,0.881081081,0.118918919,3141,0,3,50,16,0,0.08695652173913043,1
0,0,22,5,1,0.772727273,0.227272727,-1,882317,0,38,15,0,0.0,1
0,0,36,2,1,0.75,0.25,7621,56198,6,28,21,0,0.21739130434782608,1
1,0,14,2,1,0.285714286,0.714285714,2700,0,2,32,24,0,0.0,0
0,0,8,3,0,1.0,0.0,1337,20989,6,42,25,0,0.23529411764705882,1
0,0,37,2,1,0.513513514,0.486486486,5161,830227,8,31,24,0,0.0,0
1,0,25,4,1,1.0,0.0,-1,0,0,31,14,0,0.0,1
1,0,23,11,1,0.565217391,0.434782609,6200,1364953,4,89,23,0,0.05952380952380952,0
0,0,0,3,1,0.0,0.0,5460,0,0,35,14,0,0.0,1
1,0,16,10,1,0.5,0.5,4763,6179184,3,84,32,0,0.0,0
0,0,0,9,1,0.0,0.0,9338,21,5,102,17,0,0.1590909090909091,1
0,0,4,6,1,0.75,0.25,-1,0,0,83,17,0,0.31746031746031744,1
1,0,3,10,1,1.0,0.0,111,0,1,66,21,0,0.0,1
0,0,1,10,1,1.0,0.0,-1,0,0,30,14,0,0.5789473684210527,1
0,0,0,10,1,0.0,0.0,12156,17877,5,67,16,0,0.15517241379310345,0
0,2,0,7,1,0.0,0.0,1613,0,0,49,13,0,0.0,1
1,3,4,15,1,1.0,0.0,2618,0,0,98,13,0,0.12643678160919541,1
0,0,22,10,1,1.0,0.0,5,0,0,131,23,1,0.21296296296296297,1
0,0,838,6,1,0.928400955,0.071599045,7157,2272,3,42,14,0,0.13513513513513514,0
0,0,140,5,0,0.964285714,0.035714286,2683,80446,4,41,18,0,0.0,0
0,0,83,5,1,0.554216867,0.445783133,7615,2188,5,65,35,0,0.0,0
0,0,1,15,1,0.0,1.0,7086,18263,3,299,23,0,0.7283236994219653,1
1,0,331,2,0,0.990936556,0.009063444,2632,380180,3,21,12,0,0.0,0
0,0,0,10,1,0.0,0.0,3386,0,1,71,12,0,0.2033898305084746,1
0,0,4,6,1,1.0,0.0,4003,5828815,0,69,42,0,0.1896551724137931,1
1,2,23,13,1,0.782608696,0.217391304,4284,0,1,160,21,0,0.17647058823529413,1
1,0,117,6,1,0.683760684,0.316239316,4824,396309,4,58,27,0,0.0,0
1,0,113,2,1,0.82300885,0.17699115,2984,350136,2,31,22,0,0.0,0
0,3,4,10,1,1.0,0.0,4726,0,1,77,8,0,0.04054054054054054,1
1,0,37,6,1,0.594594595,0.405405405,5910,86615,5,51,16,0,0.0,0
0,0,22,8,1,0.181818182,0.818181818,5627,0,5,58,40,0,0.0,1
0,0,51,1,1,0.980392157,0.019607843,139,0,0,24,17,0,0.0,0
0,0,449,5,1,0.180400891,0.819599109,7448,0,8,73,36,0,0.0,0
0,0,560,6,0,0.910714286,0.089285714,7129,12,7,43,18,0,0.0,0
1,0,78,2,1,0.551282051,0.448717949,-1,1132851,3,37,28,0,0.0,0
0,0,0,10,1,0.0,0.0,7211,0,2,143,64,0,0.043795620437956206,1
0,0,0,7,1,0.0,0.0,9256,21428,6,46,7,0,0.09523809523809523,0
1,0,70,4,0,0.757142857,0.242857143,5696,321,6,41,16,0,0.20588235294117646,0
0,3,0,13,1,0.0,0.0,73,5631354,0,105,14,0,0.05,1
1,0,184,4,0,0.918478261,0.081521739,5125,18864,5,36,17,0,0.0,0
0,1,1,7,1,1.0,0.0,973,8238037,2,52,18,0,0.04,1
0,0,57,2,1,0.596491228,0.403508772,-1,0,2,23,14,0,0.0,1
0,0,26,12,1,0.115384615,0.884615385,8019,2897450,4,132,25,0,0.056,1
1,0,80,2,1,1.0,0.0,5714,10088551,2,28,19,0,0.0,0
0,0,13,6,1,0.076923077,0.923076923,7295,0,5,64,26,0,0.0,1
0,0,20,22,1,1.0,0.0,4656,10531930,3,208,24,0,0.6910569105691057,1
0,0,0,2,1,0.0,0.0,1,0,0,22,14,0,0.0,1
1,3,5,19,1,0.4,0.6,-1,0,0,106,13,0,0.009523809523809525,1
1,0,22,4,1,0.818181818,0.181818182,1479,0,1,34,18,0,0.0,1
1,0,39,8,0,0.538461538,0.461538462,6765,185235,3,82,17,0,0.0,0
1,0,182,9,0,0.67032967,0.32967033,8145,12364,6,82,17,0,0.0,0
0,0,21,8,1,0.19047619,0.80952381,5616,0,5,66,38,0,0.0,1
0,0,64,11,0,0.875,0.125,10674,23,8,75,18,0,0.0,0
0,0,56,2,1,0.0,1.0,-1,0,4,15,4,0,0.07142857142857142,1
0,0,0,5,1,0.0,0.0,4377,0,1,69,14,1,0.2777777777777778,1
1,0,0,7,1,0.0,0.0,259,0,1,92,21,0,0.3142857142857143,1
1,0,79,2,1,0.379746835,0.620253165,-1,0,2,36,28,0,0.0,0
1,0,12,5,1,0.583333333,0.416666667,392,4606493,4,54,27,0,0.0,1
0,0,51,6,1,1.0,0.0,3993,5707171,0,68,42,0,0.23636363636363636,1
1,0,10,4,1,0.9,0.1,3090,0,3,46,24,0,0.0,0
0,0,31,3,1,0.225806452,0.774193548,1546,4669,2,51,31,0,0.10869565217391304,1
0,0,24,11,1,0.583333333,0.416666667,35,0,0,86,15,1,0.023809523809523808,1
0,0,14,2,1,0.071428571,0.928571429,7295,0,5,32,25,0,0.0,1
0,0,63,14,1,0.158730159,0.841269841,7448,3945616,8,115,23,0,0.07476635514018691,0
0,0,39,2,1,0.897435897,0.102564103,5232,0,7,23,16,0,0.045454545454545456,0
1,0,165,14,1,0.551515152,0.448484848,7927,582,7,119,16,0,0.1553398058252427,0
0,0,123,1,0,0.780487805,0.219512195,6862,30996,5,18,10,0,0.0,0
0,1,4,12,1,1.0,0.0,-1,0,0,44,14,0,0.3333333333333333,1
0,3,12,5,0,0.75,0.25,536,0,3,43,12,0,0.0,1
1,0,10,6,1,1.0,0.0,-1,0,0,54,16,0,0.0,1
1,0,0,4,1,0.0,0.0,1502,2698315,0,49,23,0,0.0,1
1,0,9,6,1,0.555555556,0.444444444,6400,92162,5,56,17,0,0.0,0
0,0,23,2,1,0.304347826,0.695652174,-1,0,1,32,16,0,0.0,1
1,0,53,3,1,0.622641509,0.377358491,8520,8,10,33,16,0,0.0,0
1,0,19,2,1,0.789473684,0.210526316,2806,866959,4,28,20,0,0.0,0
1,0,55,4,0,0.472727273,0.527272727,5635,2,10,43,15,0,0.0,0
0,0,14,3,1,0.071428571,0.928571429,7295,0,5,32,25,0,0.0,1
0,2,0,7,1,0.0,0.0,-1,72947,3,55,13,0,0.0,1
0,0,9,8,1,0.0,1.0,7765,32,5,132,16,0,0.03937007874015748,1
0,1,1,9,0,0.0,1.0,8347,1,10,82,16,0,0.06493506493506493,1
1,0,1,4,1,1.0,0.0,5098,10819,5,38,18,0,0.0,0
1,0,0,8,1,0.0,0.0,4079,0,2,66,20,0,0.0,0
0,1,12,5,1,0.333333333,0.666666667,4790,113061,4,42,18,0,0.0,1
1,0,100,3,0,0.95,0.05,4190,21732,6,31,16,0,0.0,0
0,0,87,1,1,0.908045977,0.091954023,-1,0,0,32,25,0,0.0,0
0,0,38,16,1,1.0,0.0,1115,6093988,0,138,13,0,0.4838709677419355,1
1,0,0,6,1,0.0,0.0,-1,0,0,86,19,0,0.6538461538461539,1
1,0,180,2,0,0.711111111,0.288888889,3821,433555,2,24,15,0,0.0,0
1,2,35,6,1,0.571428571,0.428571429,4454,1467571,4,57,18,0,0.11764705882352941,0
1,0,17,8,0,0.0,1.0,7419,285,7,56,13,0,0.0,0
1,0,144,2,0,0.972222222,0.027777778,4011,3283858,2,24,16,0,0.0,0
1,0,316,2,0,0.946202532,0.053797468,2568,286071,5,25,16,0,0.0,0
1,0,17,2,1,0.058823529,0.941176471,1119,0,1,36,27,0,0.0,0
1,0,85,6,1,0.847058824,0.152941176,6984,41235,5,53,24,0,0.0392156862745098,0
1,0,70,4,1,0.885714286,0.114285714,-1,0,2,39,30,0,0.0,0
0,0,921,6,1,0.844733985,0.155266015,7159,2320,3,44,15,0,0.15789473684210525,0
1,0,110,13,0,0.9,0.1,2815,7079578,2,293,14,0,0.9931972789115646,1
1,0,65,2,0,0.923076923,0.076923077,8495,2675001,5,22,13,0,0.0,0
0,0,57,2,1,0.385964912,0.614035088,7299,33345,5,32,24,0,0.0,0
1,0,160,4,1,0.88125,0.11875,5400,32887,5,51,25,0,0.0,0
0,0,0,4,1,0.0,0.0,-1,0,0,80,72,0,0.0,1
0,0,33,2,0,0.96969697,0.03030303,3180,8669000,1,27,11,0,0.0,0
1,0,31,6,1,0.709677419,0.290322581,5913,86462,5,42,16,0,0.0,0
0,0,31,7,0,0.032258065,0.967741935,1016,1211946,2,94,28,0,0.323943661971831,1
1,0,55,4,0,0.472727273,0.527272727,5640,2,10,43,15,0,0.0,0
1,0,311,3,1,0.909967846,0.090032154,6259,683,6,43,25,0,0.0,0
1,0,58,6,0,0.862068966,0.137931034,4914,19217,5,43,14,0,0.0,0
0,0,11,3,1,0.909090909,0.090909091,8195,8063233,4,40,31,0,0.0,1
1,0,0,11,1,0.0,0.0,7489,376,7,108,16,0,0.6875,1
0,0,0,8,1,0.0,0.0,-1,1021,6,61,16,0,0.08928571428571429,0
0,0,70,7,1,0.957142857,0.042857143,8181,178077,4,74,66,0,0.0,0
0,0,51,7,1,1.0,0.0,3992,5697976,0,76,50,0,0.13432835820895522,1
0,2,118,10,1,0.855932203,0.144067797,2157,2030898,1,91,16,0,0.0,0
1,0,84,2,1,0.892857143,0.107142857,-1,40203,4,25,16,0,0.041666666666666664,0
0,1,33,7,1,0.272727273,0.727272727,1546,4669,2,52,35,0,0.10638297872340426,1
0,1,30,8,1,0.333333333,0.666666667,8347,1,10,99,15,0,0.125,1
0,0,4,6,1,1.0,0.0,-1,0,0,58,50,0,0.07407407407407407,1
0,0,1,15,1,0.0,1.0,7086,18263,3,302,26,0,0.735632183908046,1
0,0,103,3,1,0.932038835,0.067961165,7011,705069,2,36,28,0,0.0,1
1,1,114,11,1,0.964912281,0.035087719,8326,993169,4,89,23,0,0.011363636363636364,0
0,3,38,8,1,0.421052632,0.578947368,778,0,0,70,24,0,0.06060606060606061,1
0,0,7,3,1,1.0,0.0,7793,84222,5,31,11,0,0.0,0
0,0,200,1,1,0.135,0.865,-1,0,0,22,13,0,0.0,1
1,0,60,6,0,0.866666667,0.133333333,4916,19476,5,49,14,0,0.0,0
0,0,51,11,1,1.0,0.0,3993,5707171,0,118,42,0,0.20408163265306123,1
0,0,16,5,1,0.4375,0.5625,-1,0,0,60,52,0,0.0,1
0,4,0,8,1,0.0,0.0,2381,0,2,73,19,0,0.0,1
0,0,365,2,1,0.224657534,0.775342466,7297,0,5,31,23,0,0.0,0
1,0,2,8,1,1.0,0.0,-1,4992,6,46,13,0,0.0,0
0,0,136,6,1,0.889705882,0.110294118,7159,2336,3,44,14,0,0.1891891891891892,0
0,1,24,5,1,0.875,0.125,-1,0,0,33,23,0,0.06451612903225806,1
0,0,18,10,1,0.666666667,0.333333333,431,8509505,0,85,27,0,0.0,1
0,0,120,9,0,0.891666667,0.108333333,9800,72,8,55,13,0,0.1,0
0,0,7,4,1,1.0,0.0,-1,312295,3,38,21,0,0.02702702702702703,1
1,0,24,9,0,0.416666667,0.583333333,5409,9424,6,68,14,0,0.13333333333333333,0
1,0,59,5,1,0.813559322,0.186440678,8046,2603,6,48,20,0,0.14285714285714285,0
1,0,101,9,1,0.485148515,0.514851485,5132,1310,7,62,17,0,0.01639344262295082,0
1,0,132,2,1,0.909090909,0.090909091,7451,6629429,2,34,25,0,0.0,0
0,0,87,1,1,0.735632184,0.264367816,4544,179929,4,26,19,0,0.0,0
0,0,23,4,1,0.782608696,0.217391304,4202,0,0,43,36,0,0.0,1
1,0,48,7,1,0.583333333,0.416666667,2135,2721076,3,71,26,0,0.0,0
1,1,391,4,0,0.956521739,0.043478261,8079,101628,5,39,21,0,0.0,0
1,0,84,6,1,0.964285714,0.035714286,5839,3090165,2,57,22,0,0.0,0
0,0,194,2,1,0.31443299,0.68556701,7299,0,5,32,25,0,0.0,0
1,0,287,2,1,0.979094077,0.020905923,5167,1374951,3,24,16,0,0.0,0
1,0,85,2,1,0.705882353,0.294117647,3935,39744,5,28,19,0,0.0,0
0,0,612,6,1,0.950980392,0.049019608,3025,6004191,3,57,22,0,0.0,0
1,0,41,2,1,0.951219512,0.048780488,-1,0,0,21,13,0,0.0,1
0,0,2,5,1,0.0,1.0,6494,8156339,2,39,16,0,0.14705882352941177,0
1,0,16,8,1,0.25,0.75,4478,625153,5,51,21,0,0.0,0
1,0,0,10,1,0.0,0.0,-1,54049,5,74,19,0,0.027777777777777776,0
0,2,1,7,0,0.0,1.0,8348,1,10,60,16,0,0.01694915254237288,1
1,1,88,5,1,0.920454545,0.079545455,-1,982473,0,41,18,0,0.0,1
1,0,317,10,0,0.880126183,0.119873817,10320,3483,7,78,15,0,0.08333333333333333,0
0,0,798,8,0,0.788220551,0.211779449,7133,12,7,68,16,0,0.0,0
1,0,93,2,0,0.913978495,0.086021505,7461,541226,4,26,17,0,0.0,0
0,0,240,5,0,0.9125,0.0875,7134,13,7,49,16,0,0.0,0
1,0,27,2,1,0.777777778,0.222222222,1099,357413,2,29,20,0,0.0,1
1,0,52,5,0,0.557692308,0.442307692,5636,2,10,43,15,0,0.04878048780487805,0
0,0,105,6,0,0.542857143,0.457142857,9316,13,7,66,17,0,0.2692307692307692,0
0,0,51,6,1,1.0,0.0,3993,5707171,0,68,42,0,0.19298245614035087,1
0,0,1,5,1,0.0,1.0,7083,17964,3,54,26,0,0.0,1
1,0,185,2,0,0.989189189,0.010810811,-1,361673,2,32,24,0,0.0,0
1,0,102,2,0,0.882352941,0.117647059,2495,8018283,4,23,14,0,0.045454545454545456,0
1,0,142,10,1,0.697183099,0.302816901,-1,2352325,5,76,13,0,0.0410958904109589,0
1,0,195,8,1,0.702564103,0.297435897,5222,135,8,73,18,0,0.028169014084507043,0
0,0,81,6,1,0.851851852,0.148148148,2192,0,0,93,14,0,0.25675675675675674,1
0,0,321,6,1,0.744548287,0.255451713,7119,32633,4,54,24,1,0.038461538461538464,0
1,1,168,7,0,0.886904762,0.113095238,8149,133,6,63,14,0,0.0,0
